test_id,question,expected_document,chunking_method,embedding_model,search_algorithm,retrieved_sources,correct_document_retrieved,embedding_latency_ms,search_latency_ms,total_retrieval_latency_ms,llm_generation_latency_ms,end_to_end_latency_ms,top_chunk_preview,notes
T014,What are the main employee responsibilities in the IT company regulations?,regulations,recursive,BAAI/bge-small-en-v1.5,exact,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,85.474,114.562,200.036,6835.608,7035.645,"Employees should not rely only on local device storage for important work. Temporary files and outdated sensitive documents should be deleted when no longer needed. 15. Employee Responsibilities Employees are responsible for following this policy, pr",requested_top_k=3; accuracy_cutoff=3
T015,What actions are prohibited according to the IT company regulations?,regulations,recursive,BAAI/bge-small-en-v1.5,hnsw,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,34.172,56.998,91.17,9859.021,9950.191,"3. Acceptable Use of Company Systems Company laptops, email accounts, cloud storage, development servers, and internal tools must be used mainly for work-related activities. Limited personal use is allowed only when it does not affect productivity, s",requested_top_k=3; accuracy_cutoff=3
T016,What actions are prohibited according to the IT company regulations?,regulations,recursive,BAAI/bge-small-en-v1.5,exact,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,37.517,77.493,115.009,8410.646,8525.655,"3. Acceptable Use of Company Systems Company laptops, email accounts, cloud storage, development servers, and internal tools must be used mainly for work-related activities. Limited personal use is allowed only when it does not affect productivity, s",requested_top_k=3; accuracy_cutoff=3
T017,What is Sriyanka's educational background?,resume,custom,sentence-transformers/all-MiniLM-L6-v2,hnsw,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,16.196,19.801,35.997,16758.055,16794.052,"er Learning Sriyanka Baral, Suchana Subedi, Kalpana Acharya, Sharon Adhikari, Nawaraj Subedi Presented at the 16th IOE Graduate Conference Skills Programming:Python, C, C++, SQL, HTML AI/ML:Machine Learning, Deep Learning, Computer Vision, Transfer L",requested_top_k=3; accuracy_cutoff=3
T018,What is Sriyanka's educational background?,resume,custom,sentence-transformers/all-MiniLM-L6-v2,exact,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,22.234,24.984,47.218,6228.798,6276.016,"er Learning Sriyanka Baral, Suchana Subedi, Kalpana Acharya, Sharon Adhikari, Nawaraj Subedi Presented at the 16th IOE Graduate Conference Skills Programming:Python, C, C++, SQL, HTML AI/ML:Machine Learning, Deep Learning, Computer Vision, Transfer L",requested_top_k=3; accuracy_cutoff=3
T019,What AI or machine learning projects are mentioned in Sriyanka's resume?,resume,custom,sentence-transformers/all-MiniLM-L6-v2,hnsw,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,30.677,35.363,66.04,14399.489,14465.529,"er Learning Sriyanka Baral, Suchana Subedi, Kalpana Acharya, Sharon Adhikari, Nawaraj Subedi Presented at the 16th IOE Graduate Conference Skills Programming:Python, C, C++, SQL, HTML AI/ML:Machine Learning, Deep Learning, Computer Vision, Transfer L",requested_top_k=3; accuracy_cutoff=3
T020,What AI or machine learning projects are mentioned in Sriyanka's resume?,resume,custom,sentence-transformers/all-MiniLM-L6-v2,exact,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,21.478,40.752,62.23,8402.659,8464.889,"er Learning Sriyanka Baral, Suchana Subedi, Kalpana Acharya, Sharon Adhikari, Nawaraj Subedi Presented at the 16th IOE Graduate Conference Skills Programming:Python, C, C++, SQL, HTML AI/ML:Machine Learning, Deep Learning, Computer Vision, Transfer L",requested_top_k=3; accuracy_cutoff=3
T021,What are the main employee responsibilities in the IT company regulations?,regulations,custom,sentence-transformers/all-MiniLM-L6-v2,hnsw,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,14.661,72.997,87.658,15178.843,15266.501,"applies to all employees, interns, contractors, consultants, and temporary staff who use company devices, networks, software tools, cloud platforms, email accounts, source code repositories, or client data. 3. Acceptable Use of Company Systems Compan",requested_top_k=3; accuracy_cutoff=3
T022,What are the main employee responsibilities in the IT company regulations?,regulations,custom,sentence-transformers/all-MiniLM-L6-v2,exact,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,19.18,32.701,51.881,7079.368,7131.249,"applies to all employees, interns, contractors, consultants, and temporary staff who use company devices, networks, software tools, cloud platforms, email accounts, source code repositories, or client data. 3. Acceptable Use of Company Systems Compan",requested_top_k=3; accuracy_cutoff=3
T023,What actions are prohibited according to the IT company regulations?,regulations,custom,sentence-transformers/all-MiniLM-L6-v2,hnsw,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,23.364,53.801,77.165,18777.988,18855.154,"use is allowed only when it does not affect productivity, security, or company reputation. Employees must not use company systems for illegal activities, harassment, gambling, unauthorized downloads, cryptocurrency mining, or accessing harmful or ina",requested_top_k=3; accuracy_cutoff=3
T024,What actions are prohibited according to the IT company regulations?,regulations,custom,sentence-transformers/all-MiniLM-L6-v2,exact,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,16.735,39.032,55.767,11424.233,11480.0,"use is allowed only when it does not affect productivity, security, or company reputation. Employees must not use company systems for illegal activities, harassment, gambling, unauthorized downloads, cryptocurrency mining, or accessing harmful or ina",requested_top_k=3; accuracy_cutoff=3
T025,What is Sriyanka's educational background?,resume,custom,BAAI/bge-small-en-v1.5,hnsw,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,29.095,30.982,60.077,14995.439,15055.516,"Sriyanka Baral Bharatpur, Chitwan, Nepal|sriyankabaral66@gmail.com|+977-9845068219 LinkedIn|GitHub Summary Recent BE graduate in Electronics, Communication and Information Technology with hands-on experience in AI/ML, computer vision, and medical ima",requested_top_k=3; accuracy_cutoff=3
T026,What is Sriyanka's educational background?,resume,custom,BAAI/bge-small-en-v1.5,exact,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,39.627,35.379,75.006,8030.518,8105.524,"Sriyanka Baral Bharatpur, Chitwan, Nepal|sriyankabaral66@gmail.com|+977-9845068219 LinkedIn|GitHub Summary Recent BE graduate in Electronics, Communication and Information Technology with hands-on experience in AI/ML, computer vision, and medical ima",requested_top_k=3; accuracy_cutoff=3
T027,What AI or machine learning projects are mentioned in Sriyanka's resume?,resume,custom,BAAI/bge-small-en-v1.5,hnsw,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,57.148,67.788,124.936,17162.28,17287.216,"Sriyanka Baral Bharatpur, Chitwan, Nepal|sriyankabaral66@gmail.com|+977-9845068219 LinkedIn|GitHub Summary Recent BE graduate in Electronics, Communication and Information Technology with hands-on experience in AI/ML, computer vision, and medical ima",requested_top_k=3; accuracy_cutoff=3
T028,What AI or machine learning projects are mentioned in Sriyanka's resume?,resume,custom,BAAI/bge-small-en-v1.5,exact,06ed76ce-c206-45aa-93a7-8741534f2ccc_sriyanka_resume.pdf,True,45.942,42.075,88.017,4753.036,4841.053,"Sriyanka Baral Bharatpur, Chitwan, Nepal|sriyankabaral66@gmail.com|+977-9845068219 LinkedIn|GitHub Summary Recent BE graduate in Electronics, Communication and Information Technology with hands-on experience in AI/ML, computer vision, and medical ima",requested_top_k=3; accuracy_cutoff=3
T029,What are the main employee responsibilities in the IT company regulations?,regulations,custom,BAAI/bge-small-en-v1.5,hnsw,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,42.549,49.87,92.419,14535.52,14627.938,ups are available. Employees should not rely only on local device storage for important work. Temporary files and outdated sensitive documents should be deleted when no longer needed. 15. Employee Responsibilities Employees are responsible for follow,requested_top_k=3; accuracy_cutoff=3
T030,What are the main employee responsibilities in the IT company regulations?,regulations,custom,BAAI/bge-small-en-v1.5,exact,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,36.251,52.051,88.302,6942.993,7031.296,ups are available. Employees should not rely only on local device storage for important work. Temporary files and outdated sensitive documents should be deleted when no longer needed. 15. Employee Responsibilities Employees are responsible for follow,requested_top_k=3; accuracy_cutoff=3
T031,What actions are prohibited according to the IT company regulations?,regulations,custom,BAAI/bge-small-en-v1.5,hnsw,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,38.913,33.763,72.676,15536.174,15608.851,"use is allowed only when it does not affect productivity, security, or company reputation. Employees must not use company systems for illegal activities, harassment, gambling, unauthorized downloads, cryptocurrency mining, or accessing harmful or ina",requested_top_k=3; accuracy_cutoff=3
T032,What actions are prohibited according to the IT company regulations?,regulations,custom,BAAI/bge-small-en-v1.5,exact,3ac9493b-4161-4eb8-b095-e6c3b7c92a03_sample_it_company_policy.txt,True,35.709,51.574,87.283,9531.358,9618.641,"use is allowed only when it does not affect productivity, security, or company reputation. Employees must not use company systems for illegal activities, harassment, gambling, unauthorized downloads, cryptocurrency mining, or accessing harmful or ina",requested_top_k=3; accuracy_cutoff=3
